seq,display_num,title,date,kaptCode,apt_name,file_count,file_names,download_status
34286,1,장기수선계획서,2023-01-25,A40378303,산곡 경남4차 아파트,2,S25C-923012512260_0001.jpg | S25C-923012512260_0002.jpg,OK
58791,2,2022년 장기수선충당금 적립 및 사용현황,2023-03-20,A40370702,갈산 동아 아파트,2,장충금적립및사용현황2023.3.20.jpg | 2023.3.20장충금적립및 사용현황공고.jpg,OK
43870,1,갈산동아 아파트 장기수선계획,2023-02-07,A40370702,갈산 동아 아파트,1,갈산동아아파트 장기수선계획서 2023.pdf,OK
68780,2,아스팔트공사 도급계약서,2023-06-23,A40309007,삼산주공미래타운2단지 아파트,1,2-1 아스팔트공사도급계약서 20230622.png,OK
68655,1,승강기 부품교체(수리공사) 계약 체결,2023-06-23,A40309007,삼산주공미래타운2단지 아파트,1,1-2 엘리베이터 부품교체(수리공사) 계약서 샘플 20221223.png,OK
104120,2,갈산1태화아파트 장기수선계획,2024-03-18,A40370302,갈산1동 태화 아파트,1,장기수선계획-조정확정(2024년03월)-확정.xlsx,OK
59003,1,갈산1태화아파트 장기수선계획,2023-03-22,A40370302,갈산1동 태화 아파트,1,갈산1동태화아파트 장기수선계획서(2021).xls,OK
43382,1,장기수선계획,2023-02-07,A40309004,광명12차,1,장기수선 최종수정보고서(소화기수정등. 광명12차) 2020.03.10.xlsx,OK
41819,2,장기수선,2023-02-06,A40372401,부개 성일 아파트,1,9-4. 장기수선계획서.pdf,OK
41818,1,장기수선,2023-02-06,A40372401,부개 성일 아파트,1,9-4. 장기수선계획서.pdf,OK
43186,1,장기수선충당금 세대별 부담요율,2023-02-07,A40379801,부개동도센트리움,1,장기수선충당금 세대별 부담액 요율.xlsx,OK
37380,1,산곡무지개아파트 장기수선계획,2023-01-30,A40383705,산곡 무지개 아파트,2,2022년 정기조정_결재.jpg | 장기수선계획_2022_전체.pdf,OK
46043,2,동웡6차아파트  장기수선계획,2023-02-09,A40383303,동원6차,1,장충조정2022.pdf,OK
46004,1,동웡6차아파트  장기수선계획,2023-02-09,A40383303,동원6차,0,,NO_FILE
44515,1,장기수선계획,2023-02-08,A40480710,가좌 한신휴플러스아파트,0,,NO_FILE
36241,1,서인천 월드메르디앙 아파트 장기수선계획서,2023-01-27,A40482402,서인천 월드메르디앙아파트,1,서인천 월드메르디앙아파트 장기수선계획서.PDF,OK
52816,1,장기수선계획,2023-02-22,A40471921,청라롯데캐슬,1,청라롯데캐슬 장기수선계획(2022) 요약본.pdf,OK
42165,1,장기수선계획,2023-02-06,A40479104,연희극동늘푸른 아파트,1,(바인더) 장기수선 조정1차 보고서 (연희극동늘푸른) 2022.10.05.xlsx,OK
46085,1,장기수선계획,2023-02-09,A40472601,검단힐스테이트4단지,1,검단힐스테이트4단지아파트 장기수선계획(요약본)20220323.pdf,OK
46776,1,장기수선계획,2023-02-09,A40426007,마전대주파크빌,0,,NO_FILE
124339,1,2023년도 장기수선계획서,2025-07-31,A40431010,원당풍림아이원아파트,1,원당풍림아이원 장기수선계획서 (2023.09).hwp,OK
43927,1,장기수선계획서(2023~),2023-02-07,A40427004,불로삼보해피하임2단지아파트,1,장기수선계획서(2023) 스캔본.pdf,OK
128839,1,장기수선 계획,2026-02-02,A40470308,청라호반베르디움2차아파트,1,정기조정(2024)_청라 호반베르디움2차.hwp,OK
124075,5,장기수선계획서 연차별 수선계획(2023년 정기)-5,2025-07-16,A40483502,연희삼성아파트,1,장기수선계획 연차별 수선계획.pdf,OK
124074,4,장기수선계획서 적립율 상세현황(2023년 정기)-4,2025-07-16,A40483502,연희삼성아파트,1,장기수선충당금 적립율 상세현황.pdf,OK
124073,3,장기수선계획서 상세표(2023년 정기)-3,2025-07-16,A40483502,연희삼성아파트,1,장기수선계획 상세표.pdf,OK
124072,2,장기수선계획서 수립기준표(2023년 정기)-2,2025-07-16,A40483502,연희삼성아파트,1,장기수선계획 수립기준표.pdf,OK
124071,1,장기수선계획서 표지 및 총론(2023년 정기)-1,2025-07-16,A40483502,연희삼성아파트,1,"장기수선계획 표지, 총론.pdf",OK
25300,1,LG원당자이아파트 장기수선계획,2023-01-04,A40432003,LG원당자이,1,장기수선계획수시조정서220831최종.hwp,OK
122218,1,장기수선계획,2025-02-19,A40431003,원당 동문아파트,0,,NO_FILE
30140,1,2022년 10월28일 장기수선 조정을 마친 장기수선 계획서 입니다.,2023-01-13,A40476209,가좌 진주3단지 아파트,8,1.총론(표지).pdf | 2총론(동 정보).pdf | 3.총론(기본정보).pdf | 4.총론(법령정보).pdf | 5.계획수립 기준표.pdf | 6.상세계획표.pdf | 7.적립율 현황.pdf | 8.2023년 계획.pdf,OK
124749,1,2025년 1월 장기수선계획서 검토서 조정서,2025-08-27,A40426017,검단1차피오레,1,2025년1월장기수선계획서.pdf,OK
28640,1,2021년 정기조정 장기수선계획,2023-01-11,A40471914,한화꿈에그린,2,장기수선 조정 (청라한화꿈에그린).xlsx | 수시조정검토보고서 (1).xlsx,OK
44239,1,장기수선계획,2023-02-08,A40482902,석남 경남아너스빌,0,,NO_FILE
52422,1,마전금호어울림 장기수선계획,2023-02-21,A40426001,마전 금호어울림,1,마전 금호어울림아파트 장기수선계획(2023)_총론.pdf,OK
41104,1,장기수선계획서,2023-02-06,A40484706,검암신명4차,1,장기수선 보고서( 2022 조정).xlsx,OK
124235,2,2025 정기검토 장기수선충당금,2025-07-28,A40482002,마전4차풍림아이원,1,마전4차풍림아이원 장기수선계획(2025).pdf,OK
36440,1,2022년 정기검토,2023-01-30,A40482002,마전4차풍림아이원,3,"마전4차풍림아이원 장기수선계획(2022)_상세용.pdf | 장기수선계획 검토보고서.hwp | 장기수선수시조정안내문, 충당금인상안내.hwp",OK
24420,1,검단힐스테이트5차아파트 장기수선계획,2023-01-03,A40472602,검단힐스테이트5차,1,(확정)검단힐스테이트5차아파트아파트+장기수선계획서(2021).xls,OK
107720,1,장기수선계획서,2024-04-03,A40473123,검단2차아이파크,1,20220503-장기수선계획서-최종본-002.pdf,OK
46900,1,장기수선계획서,2023-02-09,A40484702,검암1차삼보해피하임,1,20220919-장기수선계획서-최종본-001.pdf,OK
121844,1,장기수선계획서 2024년 검암마젤란21 아파트,2025-01-13,A40484701,검암마젤란21,1,장기수선계획(2024년정기분).pdf,OK
111301,2,24년 장기수선계획서,2024-04-26,A40433001,금곡 하나 아파트,1,금곡 하나 아파트 (2024.03 수시조정).pdf,OK
90080,1,장기수선계획서,2023-12-27,A40433001,금곡 하나 아파트,1,금곡 하나 아파트 장기수선계획서.pdf,OK
98122,1,장기수선계획(2024.02.조정),2024-02-14,A40473121,검단2차풍림아이원,1,장기수선충당금 정기 조정 보고서 (2024년)-BOOK-GP6LT6PIJ5.xlsx,OK
46343,1,우리아파트 장기수선계획,2023-02-09,A40420001,공촌 경남 아파트,0,,NO_FILE
